Pos,Num,name,Equipe,gender,Cat,Por Categoria,PC1_42K,PC2_42K,PC3_42K,time,Tempo Bruto,Vel.Média
165,2856,LUIS HENRIQUE DINIZ MOURA DA SILVA,NAVASTRI - TREINADOR SILVIO DE MATTOS,Masculino,M4044,36,0:29:34,1:23:28,2:30:44,2:58:50,2:59:01,4:16
166,3756,GABRIEL NOGUEIRA MEDICI,,Masculino,M3034,31,0:29:38,1:23:48,2:31:15,2:58:51,2:59:19,4:16
167,620,UELITON DE SOUSA,F3,Masculino,M2024,1,0:29:31,1:23:04,2:28:58,2:58:58,2:59:09,4:16
168,1880,JOAO AUGUSTO DA SILVA,4RUN ASSESSORIA ESPORTIVA,Masculino,M4044,37,0:29:54,1:24:45,2:31:09,2:59:00,2:59:10,4:16
169,898,ERICO DA SILVA JUNQUEIRA,SOLO,Masculino,M3539,41,0:30:05,1:24:29,2:30:09,2:59:01,2:59:09,4:16
170,849,GILMAR CARVALHO,RUNNERS CORBELIA PR,Masculino,M4549,15,0:29:49,1:22:38,2:29:00,2:59:05,2:59:57,4:16
171,2401,GLAUCIO ARNALDO ANDRADE,CORRENDO PELO AUTISMO,Masculino,M4044,38,0:29:35,1:23:28,2:29:44,2:59:06,2:59:15,4:16
172,2190,MARCIO MIGUEZ DA ROCHA LEAO,MLMIXRUN,Masculino,M5559,1,0:28:29,1:22:19,2:29:41,2:59:18,2:59:25,4:16
173,3485,KENJI,,Masculino,M4044,39,0:29:47,1:23:35,2:30:08,2:59:20,2:59:30,4:16
174,1761,LEONARDO CHIMINSKI,MARCELO TEAM,Masculino,M3034,32,0:30:44,1:25:31,2:32:06,2:59:26,3:03:43,4:16
